name,name_lower,genre,actor,director,country,year,link
Могучие рейнджеры,могучие рейнджеры,"['фантастика', 'боевик', 'приключения']","['дейкр монтгомери', 'наоми скотт', 'бекки джи', 'элизабет бэнкс', 'брайан крэнстон']",['дин израэлайт'],['сша'],2017,https://www.imdb.com/title/tt3717490/
Практическая магия,практическая магия,"['комедия', 'мистика']","['сандра буллок', 'николь кидман', 'горан вишнич', 'эйдан куинн']",['гриффин данн'],['сша'],1998,https://www.imdb.com/title/tt0120791/
Власть прессы,власть прессы,['комедия'],"['дуглас фэрбенкс-мл.', 'джобина ролстон']",['фрэнк капра'],['сша'],1928,https://www.imdb.com/title/tt0019290/
Дорога на пау-вау (Шоссе встреч),дорога на пау-вау (шоссе встреч),"['драма', 'комедия', 'роуд-муви']","['эй мартинес', 'гари фармер', 'аманда уайсс']",['джонатан уэкс'],['великобритания'],1989,https://www.imdb.com/title/tt0098112/
Сила личности,сила личности,['драма'],"['стивен дорфф', 'джон гилгуд', 'а. мюллер-шталь']",['джон эвилдсен'],['сша'],1992,https://www.imdb.com/title/tt0105159/
Власть пса,власть пса,"['вестерн', 'психологическая драма']","['бенедикт камбербэтч', 'коди смит-макфи', 'кирстен данст', 'джесси племонс']",['джейн кэмпион'],['сша'],2021,https://www.imdb.com/title/tt10293406/
Власть,власть,['фантастика'],"['джордж хэмилтон', 'сюзанн плешетт', 'ричард карлсон']",['байрон хэскин'],['сша'],1968,https://www.imdb.com/title/tt0063452/
Власть,власть,['драма'],"['ричард гир', 'джули кристи', 'джин хэкмэн']",['сидни люмет'],['сша'],1986,https://www.imdb.com/title/tt0091786/
Пудра,пудра,"['драма', 'фантастика', 'триллер']","['шон патрик флэнери', 'джефф голдблюм', 'мэри стинберджен', 'лэнс хенриксен']",['виктор сальва'],['сша'],1995,https://www.imdb.com/title/tt0114168/
Окись,окись,['драма'],"['джессика бил', 'эдди редмэйн', 'форест уитакер', 'рэй лиотта']",['тимоти линь буй'],['сша'],2008,https://www.imdb.com/title/tt1032819/
,none,"['ужасы', 'триллер', 'детектив']","['стэйси чбоски', 'бен мессмер', 'саманта робсон']",['джон эрик даудл'],['сша'],2007,https://www.imdb.com/title/tt1010271/
Отчаянная домохозяйка,отчаянная домохозяйка,['комедия'],"['катрин денёв', 'фабрис лукини', 'жерар депардьё']",['франсуа озон'],['франция'],2010,https://www.imdb.com/title/tt1521848/
Почтальон всегда звонит дважды,почтальон всегда звонит дважды,"['криминальный фильм', 'драма', 'триллер', 'мелодрама']","['джек николсон', 'анжелика хьюстон', 'джессика лэнг']",['боб рейфелсон'],['сша'],1981,https://www.imdb.com/title/tt0082934/
Почтальон всегда звонит дважды,почтальон всегда звонит дважды,"['криминальный фильм', 'драма', 'нуар', 'мелодрама', 'триллер']","['лана тёрнер', 'джон гарфилд', 'хьюм кронин', 'одри тоттер']",['тэй гарнетт'],['сша'],1946,https://www.imdb.com/title/tt0038854/
Открытки с края бездны,открытки с края бездны,['драма'],"['мерил стрип', 'ширли маклейн']",['майк николс'],['сша'],1990,https://www.imdb.com/title/tt0100395/
Постал,постал,"['комедия', 'боевик']","['зак уорд', 'майкл бенэйр', 'крис коппола', 'дэйв фоули']",['уве болл'],"['сша', 'германия', 'канада']",2007,https://www.imdb.com/title/tt0486640/
Почтальон,почтальон,['драма'],"['филипп нуаре', 'массимо троизи']",['майкл рэдфорд'],"['италия', 'франция', 'бельгия']",1994,https://www.imdb.com/title/tt0110877/
Почтальон наносит ответный удар,почтальон наносит ответный удар,"['боевик', 'приключения', 'драма']","['лён каянь', 'чоу юньфат']",['ронни ю'],['гонконг'],1982,https://www.imdb.com/title/tt0083348/
Пост Мортем,пост мортем,"['триллер', 'драма', 'ужасы']",['рус.'],"['[d]', '[4]']",['венгрия'],2020,https://www.imdb.com/title/tt9834506/
Школа выживания выпускников,школа выживания выпускников,['комедия'],"['алексис бледел', 'зак гилфорд', 'майкл китон', 'джейн линч', 'бобби коулман', 'кэрол бёрнетт', 'родриго санторо']",['вики дженсон'],['сша'],2009,https://www.imdb.com/title/tt1142433/
Секретное досье,секретное досье,"['триллер', 'драма', 'биография', 'история']","['мерил стрип', 'том хэнкс']",['стивен спилберг'],['сша'],2017,https://www.imdb.com/title/tt6294822/
Кадавр,кадавр,"['ужасы', 'триллер', 'детектив']","['шей митчелл', 'стана катич', 'грэй дэймон', 'луис хертум']",['дидерик ван ружен'],['сша'],2018,https://www.imdb.com/title/tt5734576/
Вскрытие,вскрытие,['драматический фильм'],"['альфредо кастро', 'антония сехерс', 'хайме вадель', 'ампаро ногера', 'марсело алонсо']",['пабло ларраин'],['чили'],2010,https://www.imdb.com/title/tt1714886/
В чужой шкуре,в чужой шкуре,"['триллер', 'научная фантастика', 'боди-ужасы']","['андреа райсборо', 'дженнифер джейсон ли', 'кристофер эбботт']",['брэндон кроненберг'],['канада'],2020,https://www.imdb.com/title/tt5918982/
Шкатулка проклятия,шкатулка проклятия,"['ужасы', 'триллер']","['джеффри дин морган', 'кира седжвик', 'матисьяху', 'наташа калис', 'мэдисон девенпорт']",['уле борнедаль'],"['сша', 'канада']",2012,https://www.imdb.com/title/tt0431021/
Посмертно,посмертно,['драма'],[],['луис беланже'],[],1999,https://www.imdb.com/title/tt0210915/
Фальшивка,фальшивка,"['драма', 'мелодрама', 'триллер']","['сара мишель геллар', 'ли пейс', 'майкл лэндис']","['джоэль бергвалл', 'саймон сэндокуист']",['сша'],2009,https://www.imdb.com/title/tt0368563/
Одержимая,одержимая,"['ужасы', 'драма']","['изабель аджани', 'сэм нилл']",['анджей жулавский'],['франция'],1981,https://www.imdb.com/title/tt0082933/
Одержимость,одержимость,"['мелодрама', 'драма']","['аарон экхарт', 'гвинет пэлтроу', 'джереми нортэм', 'дженнифер эль', 'лена хеди']",['нил лабут'],"['сша', 'великобритания']",2002,https://www.imdb.com/title/tt0256276/
Одержимость Майкла Кинга,одержимость майкла кинга,"['ужасы', 'триллер', 'мокьюментари']","['шейн джонсон', 'кара пифко', 'элла андерсон', 'джед рис', 'джули макнивен', 'томас арана']",['дэвид юнг'],['сша'],2014,https://www.imdb.com/title/tt2282016/
Одержимая,одержимая,"['нуар', 'драма', 'триллер', 'криминальный фильм']","['джоан кроуфорд', 'ван хефлин', 'рэймонд мэсси', 'джеральдин брукс']",['кёртис бернхардт'],['сша'],1947,https://www.imdb.com/title/tt0039725/
Бесы,бесы,['драма'],"['изабель юппер', 'бернар блиё']",['анджей вайда'],['франция'],1988,https://www.imdb.com/title/tt0093765/
Эпидемия одержимости,эпидемия одержимости,"['боевик', 'криминальный фильм', 'ужасы', 'мистика', 'триллер', 'драма']","['оле леммеке', 'кирсти элин торхауг', 'оле эрнст', 'нильс андерс торн', 'удо кир']",['андерс рённов-кларлунд'],"['дания', 'швеция', 'норвегия', 'румыния']",1999,https://www.imdb.com/title/tt0193763/
Приключение «Посейдона»,приключение «посейдона»,"['боевик', 'приключения', 'фильм-катастрофа']","['джин хэкмен', 'эрнест боргнайн', 'ред баттонс', 'кэрол линли', 'шелли уинтерс', 'родди макдауэлл', 'стелла стивенс', 'джек альбертсон', 'памела сью мартин', 'артур о’коннелл', 'лесли нильсен']",['рональд ним'],['сша'],1972,https://www.imdb.com/title/tt0069113/
Посейдон,посейдон,"['фильм-катастрофа', 'приключения', 'триллер', 'саспенс']","['джош лукас', 'курт рассел', 'джасинда барретт', 'ричард дрейфус', 'эмми россум', 'майк фогель', 'миа маэстро', 'джимми беннетт']",['вольфганг петерсен'],['сша'],2006,https://www.imdb.com/title/tt0409182/
Портрет леди,портрет леди,['драма'],"['николь кидман', 'джон малкович', 'барбара херши', 'мэри-луиз паркер']",['джейн кэмпион'],"['сша', 'великобритания']",1996,https://www.imdb.com/title/tt0117364/
Портрет девушки в огне,портрет девушки в огне,"['драма', 'мелодрама']",[],['селин сьямма'],['франция'],2019,https://www.imdb.com/title/tt8613070/
Портрет Вернера Херцога,портрет вернера херцога,['документальный фильм'],['вернер херцог '],['вернер херцог'],['фрг'],1986,https://www.imdb.com/title/tt0796829/
Набережная туманов,набережная туманов,"['криминальная', 'мелодрама']","['жан габен', 'мишель симон', 'мишель морган']",['марсель карне'],['франция'],1938,https://www.imdb.com/title/tt0030643/
Порт Нью-Йорка,порт нью-йорка,['фильм нуар'],"['скотт брейди', 'ричард робер', 'к. т. стивенс', 'юл бриннер']",['ласло бенедек'],['сша'],1949,https://www.imdb.com/title/tt0041761/
Фрэнки и Джонни,фрэнки и джонни,"['драма', 'мелодрама', 'комедия']","['аль пачино', 'мишель пфайффер']","['гарри маршалл', '[2]', '[3]', '[4]', '[…]']",['сша'],1991,https://www.imdb.com/title/tt0101912/
Фрэнки и Джонни,фрэнки и джонни,"['комедия', 'музыкальный фильм', 'мелодрама']","['элвис пресли', 'донна дуглас', 'гарри морган', 'нэнси ковак']",['фредерик де кордова'],['сша'],1966,https://www.imdb.com/title/tt0060429/
Франкенвини,франкенвини,"['sci-fi', 'комедия']","['баррет оливер', 'шелли дюваль', 'дэниел стерн', 'софия коппола']",['тим бёртон'],['сша'],1984,https://www.imdb.com/title/tt0087291/
Франкенштейн освобождённый,франкенштейн освобождённый,"['драма', 'ужасы', 'фантастика']","['джон хёрт', 'рауль хулиа', 'бриджит фонда']",['роджер корман'],['сша'],1990,https://www.imdb.com/title/tt0099612/
Франкенштейн должен быть уничтожен,франкенштейн должен быть уничтожен,['ужасы'],"['питер кушинг', 'вероника карлсон', 'фредди джонс', 'симон уорд']",['теренс фишер'],['великобритания'],1969,https://www.imdb.com/title/tt0065738/
Франкенштейн против Барагона,франкенштейн против барагона,"['фантастика', 'токусацу']","['ник адамс', 'куми мидзуно', 'ёсио цутия', 'ёсифуми тадзима']",['исиро хонда'],['япония'],1965,https://www.imdb.com/title/tt0059205/
Франкенштейн,франкенштейн,"['фантастика', 'ужасы']","['огастес филлипс', 'чарльз огл', 'мэри фуллер']",['дж. сирл-доули'],['сша'],1910,https://www.imdb.com/title/tt0001223/
Новый Франкенштейн,новый франкенштейн,['ужасы'],"['паркер поузи', 'венсан перес', 'томас кречманн', 'ивана миличевич']",['маркус ниспель'],['сша'],2004,https://www.imdb.com/title/tt0397430/
Фрэнк,фрэнк,['комедия'],"['майкл фассбендер', 'донал глисон', 'мэгги джилленхол']",['ленни абрахамсон'],"['великобритания', 'ирландия']",2014,https://www.imdb.com/title/tt1605717/
Франкеншлюха,франкеншлюха,"['комедия', 'ужасы']","['джеймс лоринц', 'джоэнн ричи', 'пэтти маллен']",['фрэнк хененлоттер'],['сша'],1990,https://www.imdb.com/title/tt0099611/
Фрэнсис,фрэнсис,['драма'],"['джессика лэнг', 'сэм шепард', 'ким стэнли']",['грэм клиффорд'],['сша'],1982,https://www.imdb.com/title/tt0083967/
Порок,порок,['триллер'],"['мэттью макконахи', 'пауэрс бут', 'леви крайс']",['билл пэкстон'],"['сша', 'германия', 'италия']",2001,https://www.imdb.com/title/tt0264616/
Кадр,кадр,"['фантастика', 'криминал', 'драма']","['дэвид карранза', 'тиффани муалем', 'кэлвин бартлетт', 'кристофер сорен келли']",['джеймин уайнэнс'],['сша'],2014,https://www.imdb.com/title/tt2567038/
Обломок империи,обломок империи,['драма'],"['фёдор никитин', 'людмила семёнова', 'сергей герасимов', 'яков гудкин', 'валерий соловцов']",['фридрих эрмлер'],['ссср'],1929,https://www.imdb.com/title/tt0020232/
Хрупкость,хрупкость,['ужасы'],"['калиста флокхарт', 'ричард роксбург', 'елена анайа', 'джемма джонс']",['жауме балагеро'],"['великобритания', 'испания']",2005,https://www.imdb.com/title/tt0422272/
Перелом,перелом,"['триллер', 'драма', 'детектив']","['энтони хопкинс', 'райан гослинг', 'дэвид стрэтэйрн']",['грегори хоблит'],"['сша', 'германия']",2007,https://www.imdb.com/title/tt0488120/
Фраккия против Дракулы,фраккия против дракулы,"['комедия', 'ужасы']","['паоло вилладжо', 'эдмунд пердом', 'джиджи редер', 'ания пьерони', 'федерика брайон', 'джузеппе чедерна', 'сюзанна мартинкова', 'андреа гнеччо', 'филиппо де гара', 'романо пуппо', 'изабелла феррари', 'плинио фернандо']",['нери паренти'],['италия'],1985,https://www.imdb.com/title/tt0128221/
Фокстрот,фокстрот,['драма'],"['лиор ашкенази', 'сара адлер']",['самуэль маоз'],"['израиль', 'германия', 'франция', 'швейцария']",2017,https://www.imdb.com/title/tt6896536/
Ложный огонь,ложный огонь,['драма'],"['анджелина джоли', 'хеди баррес', 'дженни льюис', 'дженни шимицу', 'сара розенберг']",['аннетт хэйвуд-картер'],['сша'],1996,https://www.imdb.com/title/tt0116353/
Лисы,лисы,['драма'],"['джоди фостер', 'скотт байо', 'салли келлерман', 'рэнди куэйд']",['эдриан лайн'],['сша'],1980,https://www.imdb.com/title/tt0080756/
Охотник на лис,охотник на лис,['историческая спортивная драма'],"['стив карелл', 'ченнинг тейтум', 'марк руффало', 'сиенна миллер']",['беннетт миллер'],['сша'],2014,https://www.imdb.com/title/tt1100089/
Четвёртый вид,четвёртый вид,"['фантастика', 'триллер', 'ужасы']","['милла йовович', 'уилл пэттон', 'хаким кае-казим', 'кори джонсон', 'энзо силенти']",['олатунде осунсанми'],"['сша', 'великобритания']",2009,https://www.imdb.com/title/tt1220198/
Четвёртый мужчина,четвёртый мужчина,"['триллер', 'драма']","['рене саутендейк', 'йерун краббе́']",['пол верховен'],['нидерланды'],1983,https://www.imdb.com/title/tt0086543/
Четверо — это банда,четверо — это банда,['комедия'],"['эррол флинн', 'оливия де хэвилленд']",['майкл кёртис'],['сша'],1938,https://www.imdb.com/title/tt0030151/
Кулачное право свободы,кулачное право свободы,['драма'],"['петер хатель', 'карлхайнц бём', 'курт рааб']",['райнер вернер фасбиндер'],['фрг'],1974,https://www.imdb.com/title/tt0072976/
Четыре свадьбы и одни похороны,четыре свадьбы и одни похороны,['комедия'],"['хью грант', 'энди макдауэлл']",['майк ньюэлл'],['великобритания'],1994,https://www.imdb.com/title/tt0109831/
Четыре мушкетёра: Месть миледи,четыре мушкетёра: месть миледи,"['боевик', 'приключения', 'мелодрама']","['фэй данауэй', 'рэкуэл уэлч', 'майкл йорк']",['ричард лестер'],"['испания', 'панама', 'сша', 'великобритания']",1974,https://www.imdb.com/title/tt0073012/
Четыре комнаты,четыре комнаты,['чёрная комедия'],"['тим рот', 'мариса томей', 'дженнифер билз', 'мадонна', 'антонио бандерас', 'квентин тарантино']","['эллисон андерс', 'александр рокуэлл', 'роберт родригес', 'квентин тарантино']",['сша'],1995,https://www.imdb.com/title/tt0113101/
Четыре ночи мечтателя,четыре ночи мечтателя,"['драма, мелодрама, экранизация']","['гийом де форет ', 'изабель вайнгартен, ', 'лидия бионди']",['робер брессон'],['франция'],1971,https://www.imdb.com/title/tt0067641/
Времена года,времена года,['комедия'],"['алан алда', 'кэрол барнетт', 'лен кариу', 'сэнди деннис', 'рита морено', 'джек уэстон']",['алан алда'],['сша'],1981,https://www.imdb.com/title/tt0082405/
Четыре льва,четыре льва,['чёрная комедия'],"['риз ахмед', 'кайван новак', 'найджел линдсэй', 'адиль ахтар', 'прия калидас', 'бенедикт камбербэтч']",['кристофер моррис'],['великобритания'],2010,https://www.imdb.com/title/tt1341167/
«Сердца четырёх»,«сердца четырёх»,"['мелодрама', 'комедия']","['валентина серова', 'евгений самойлов', 'людмила целиковская', 'павел шпрингфельд']",['константин юдин'],['ссср'],1941,https://www.imdb.com/title/tt0038533/
Ужин в четыре руки,ужин в четыре руки,['драма'],"['михаил козаков', 'евгений стеблов', 'анатолий грачёв']",['михаил козаков'],['россия'],1999,https://www.imdb.com/title/tt1992272/
Четыре мухи на сером бархатe,четыре мухи на сером бархатe,['джалло'],"['майкл брэндон', 'мимси фармер', 'бад спенсер']",['дарио ардженто'],['италия'],1971,https://www.imdb.com/title/tt0066735/
Четыре пера,четыре пера,['драма'],"['хит леджер', 'уэс бентли', 'джимон хонсу', 'кейт хадсон', 'руперт пенри-джонс', 'крис маршалл', 'майкл шин']",['шекхар капур'],['сша'],2002,https://www.imdb.com/title/tt0240510/
Четыре дня в сентябре,четыре дня в сентябре,"['триллер', 'драма']","['фернанда торрес', 'педро кордоса', 'луиш фернанду гимараеш', 'клаудия абреу', 'алан аркин']",['бруну баррету'],['бразилия'],1997,https://www.imdb.com/title/tt0119815/
Кровь за кровь,кровь за кровь,['боевик'],"['марк уолберг', 'тайриз гибсон', 'андре бенджамин', 'гаррет хедлунд', 'софия вергара', 'терренс ховард']",['джон синглтон'],['сша'],2005,https://www.imdb.com/title/tt0430105/
Четыре Рождества,четыре рождества,"['комедия', 'мелодрама']","['риз уизерспун', 'винс вон', 'роберт дюваль', 'сисси спэйсек', 'мэри стинберджен', 'джон войт']",['сет гордон'],['сша'],2008,https://www.imdb.com/title/tt0369436/
Четыре приключения Ренетт и Мирабель,четыре приключения ренетт и мирабель,['кинокомедия'],"['жоэль микель', 'джессика форд']",['эрик ромер'],['франция'],1987,https://www.imdb.com/title/tt0090565/
Фонтан,фонтан,"['мелодрама', 'драма', 'фантастика']","['хью джекман', 'рэйчел вайс']",['даррен аронофски'],['сша'],2006,https://www.imdb.com/title/tt0414993/
Город сотен домн,город сотен домн,['фильм-драма'],"['саюри ёсинага', 'мицуо хамада', 'эйдзиро тоно']",['кириро ураяма'],['япония'],1962,https://www.imdb.com/title/tt0228499/
Основатель,основатель,"['драма', 'фильм-биография']","['майкл китон', 'лора дерн', 'ник офферман', 'джон кэрролл линч', 'патрик уилсон']",['джон ли хэнкок'],[],2016,https://www.imdb.com/title/tt4276820/
Источник,источник,['драма'],"['гэри купер', 'патриция нил', 'рэймонд мэсси', 'кент смит']",['кинг видор'],['сша'],1949,https://www.imdb.com/title/tt0041386/
Страна тигров,страна тигров,"['драма', 'военный']","['колин фаррелл', 'мэттью дэвис', 'ши уигхэм']",['джоэл шумахер'],['сша'],2000,https://www.imdb.com/title/tt0170691/
Тигр и снег,тигр и снег,"['сентиментальная драма', 'мелодрама']","['роберто бениньи', 'николетта браски', 'жан рено', 'том уэйтс']",['роберто бениньи'],['италия'],2005,https://www.imdb.com/title/tt0419198/
Тигр,тигр,"['драма', 'триллер']",['чхве мин сик'],['пак хун джон'],['республика корея'],2015,https://www.imdb.com/title/tt5066556/
Бенгальский тигр,бенгальский тигр,"['приключения', 'драма', 'мелодрама', 'триллер']","['дебра паджет', 'пауль губшмид', 'вальтер райер', 'лучана палуцци']",['фриц ланг'],"['германия', 'италия', 'франция']",1959,https://www.imdb.com/title/tt0052295/
Клетка тигра 2,клетка тигра 2,"['боевик', 'комедия', 'криминальный фильм']","['донни йен', 'розамунд кван', 'дэвид у', 'робин шу']",['юнь вопхин'],['гонконг'],1990,https://www.imdb.com/title/tt0100967/
Тигр в полиции,тигр в полиции,"['боевик', 'комедия']","['чоу юньфат', 'нина ли', 'конан ли']",['лю цзялян'],['гонконг'],1988,https://www.imdb.com/title/tt0095491/
Тигровая бухта,тигровая бухта,['драма'],"['хорст буххольц', 'джон миллс', 'хейли миллс']",['дж. ли томпсон'],['великобритания'],1959,https://www.imdb.com/title/tt0053361/
Фуэте,фуэте,"['музыкальный фильм', 'драма']","['екатерина максимова', 'владимир васильев']","['борис ермолаев', 'владимир васильев']",['ссср'],1986,https://www.imdb.com/title/tt0128223/
Свяжи меня!,свяжи меня!,"['тёмная', 'романтическая комедия']","['виктория абриль', 'франсиско рабаль', 'антонио бандерас', 'мария барранко']",['педро альмодовар'],['испания'],1990,https://www.imdb.com/title/tt0101026/
Страна приливов,страна приливов,['драма'],"['джодель ферланд', 'джефф бриджес', 'брендан флетчер']",['терри гиллиам'],"['канада', 'великобритания']",2005,https://www.imdb.com/title/tt0410764/
Клещи,клещи,"['ужасы', 'фантастика']",[],['тони рэндел'],['сша'],1993,https://www.imdb.com/title/tt0108339/
Билет в Томагавк,билет в томагавк,"['вестерн', 'комедия']","['дэн дэйли', 'энн бакстер']",['ричард сейл'],['сша'],1950,https://www.imdb.com/title/tt0043046/
Часовой механизм,часовой механизм,['боевик'],"['том сайзмор', 'деннис хоппер', 'стивен сигал']",['альберт пьюн'],['сша'],2001,https://www.imdb.com/title/tt0196158/
Билет на небеса,билет на небеса,['драма'],"['ник манкузо', 'сол рубинек', 'мэг фостер']",['рус.'],['канада'],1981,https://www.imdb.com/title/tt0083201/
Клетка тигра,клетка тигра,"['боевик', 'криминальный фильм', 'драма']","['джеки чён', 'до до чен', 'саймон ям', 'донни йен', 'айрин вань']",['юнь вопхин'],['гонконг'],1988,https://www.imdb.com/title/tt0096236/
Клетка тигра 3,клетка тигра 3,['боевик'],"['шарла чён', 'майкл вон']",['юнь вопхин'],['гонконг'],1991,https://www.imdb.com/title/tt0102286/
Четверг,четверг,"['криминальный фильм', 'драма', 'боевик', 'триллер', 'черная комедия']","['томас джейн', 'аарон экхарт', 'микки рурк']",['скип вудс'],['сша'],1998,https://www.imdb.com/title/tt0124901/
THX 1138,thx 1138,"['фантастика', 'антиутопия', 'драма', 'триллер']","['роберт дюваль', 'дональд плезенс']",['джордж лукас'],['сша'],1971,https://www.imdb.com/title/tt0066434/
Гром в штанах,гром в штанах,"['комедия', 'семейный фильм']",['руперт гринт'],['питер хьюитт'],"['великобритания', 'германия']",2002,https://www.imdb.com/title/tt0283054/
Громовое сердце,громовое сердце,"['криминал', 'детектив', 'триллер', 'вестерн', 'мистика', 'психологическая драма']","['вэл килмер', 'сэм шепард', 'грэм грин', 'фред уорд']",['майкл эптед'],['сша'],1992,https://www.imdb.com/title/tt0105585/
Громобой,громобой,"['боевик', 'драма', 'комедия']","['джеки чан', 'анита юань', 'майкл вон', 'торстен никел']",['гордон чан'],['гонконг'],1995,https://www.imdb.com/title/tt0114126/
Громобой и Быстроножка,громобой и быстроножка,"['приключения', 'комедия', 'криминальный фильм']","['клинт иствуд', 'джефф бриджес', 'джордж кеннеди', 'джеффри льюис']",['майкл чимино'],['сша'],1974,https://www.imdb.com/title/tt0072288/
Предвестники бури,предвестники бури,"['комедия', 'боевик', 'приключения', 'фантастика', 'семейный фильм']","['билл пэкстон', 'брэди корбет', 'бен кингсли', 'софия майлс', 'эдвардс энтони']",['джонатан фрейкс'],"['великобритания', 'франция', 'сша']",2004,https://www.imdb.com/title/tt0167456/
Дни грома,дни грома,"['триллер', 'боевик']",[],['гэри хадсон'],['сша'],1986,https://www.imdb.com/title/tt0090169/
Дорога грома,дорога грома,['драма'],"['роберт митчем', 'джин барри']",['артур рипли'],['сша'],1958,https://www.imdb.com/title/tt0052293/
Гром на холме,гром на холме,"['фильм нуар', 'мелодрама']","['клодетт кольбер', 'энн блит']",['дуглас сирк'],['сша'],1951,https://www.imdb.com/title/tt0044128/
Сила грома,сила грома,"['комедия', 'фантастика', 'супергеройский фильм']",[],['бен фальконе'],['сша'],2021,https://www.imdb.com/title/tt10121392/
Дурная привычка,дурная привычка,"['драма', 'комедия']","['лу тэйлор пуччи', 'киану ривз', 'тильда суинтон', 'винсент д’онофрио']",['майк миллс'],['сша'],2005,https://www.imdb.com/title/tt0318761/
Сквозь тусклое стекло,сквозь тусклое стекло,['драма'],[],['ингмар бергман'],['швеция'],1961,https://www.imdb.com/title/tt0055499/
Сбрось маму с поезда,сбрось маму с поезда,['комедия'],"['дэнни де вито', 'билли кристал', 'ким грайст']",['дэнни де вито'],['сша'],1987,https://www.imdb.com/title/tt0094142/
Змеиное яйцо,змеиное яйцо,['драма'],"['дэвид кэррадайн', 'лив ульман', 'герт фрёбе']",['ингмар бергман'],['сша'],1977,https://www.imdb.com/title/tt0076686/
Слуга,слуга,['драма'],"['дирк богард', 'джеймс фокс', 'сара майлз']",['джозеф лоузи'],['великобритания'],1963,https://www.imdb.com/title/tt0057490/
Это развод!,это развод!,['комедия'],"['мег райан', 'тимоти хаттон', 'кристен белл', 'джастин лонг']",['шерил хайнс'],['сша'],2009,https://www.imdb.com/title/tt1133993/
Слуга,слуга,"['притча', 'фантасмагория']","['юрий беляев', 'олег борисов']",['вадим абдрашитов'],['ссср'],1988,https://www.imdb.com/title/tt0096121/
Поцелуй змея,поцелуй змея,"['драма', 'мелодрама']","['юэн макгрегор', 'грета скакки', 'пит постлетуэйт', 'ричард э. грант', 'кармен чаплин']",['филипп русло'],['великобритания'],1997,https://www.imdb.com/title/tt0120100/
Serious Moonlight,serious moonlight,"['музыкальный фильм', 'рок']",['дэвид боуи'],[],['великобритания'],1984,https://www.imdb.com/title/tt0191941/
Серпантин,серпантин,['короткометражка'],['анцеона'],['макс складановский'],['германия'],1895,https://www.imdb.com/title/tt0000032/
Серьёзный человек,серьёзный человек,['чёрная комедия'],['майкл стулбарг'],['братья коэн'],['сша'],2009,https://www.imdb.com/title/tt1019452/
Серпико,серпико,"['фильм-биография', 'драма', 'криминал', 'неонуар']",['аль пачино'],['сидни люмет'],['сша'],1973,https://www.imdb.com/title/tt0070666/
Змея и радуга,змея и радуга,['ужасы'],['билл пуллман'],['уэс крэйвен'],['сша'],1988,https://www.imdb.com/title/tt0096071/
Мамочка — убийца-маньячка,мамочка — убийца-маньячка,['чёрная комедия'],"['кэтлин тёрнер', 'сэм уотерстон']",['джон уотерс'],['сша'],1994,https://www.imdb.com/title/tt0111127/
Море соблазна,море соблазна,['триллер'],"['мэттью макконахи', 'энн хэтэуэй', 'дайан лейн', 'джейсон кларк', 'джимон хонсу', 'джереми стронг']",['стивен найт'],['сша'],2019,https://www.imdb.com/title/tt6476140/
Миссия «Серенити»,миссия «серенити»,['фантастика'],"['нейтан филлион', 'джина торрес', 'адам болдуин', 'саммер глау', 'морена баккарин']",['джосс уидон'],['сша'],2005,https://www.imdb.com/title/tt0379786/
Интуиция,интуиция,"['трагикомедия', 'мелодрама']","['джон кьюсак', 'кейт бекинсейл']","['питер челсом', '[2]', '[3]', '[4]', '[…]']",['сша'],2001,https://www.imdb.com/title/tt0240890/
Серенада,серенада,"['музыкальный фильм', 'мелодрама', 'драма']","['марио ланца', 'джоан фонтейн', 'сара монтьель', 'винсент прайс']",['энтони манн'],['сша'],1956,https://www.imdb.com/title/tt0049737/
Сентябрьские ночи,сентябрьские ночи,['драма'],"['вацлав логниский', 'ладислав пешек', 'станислав ремунда', 'зденек ржегорж']",['войтех ясны'],['чехословакия'],1957,https://www.imdb.com/title/tt0050951/
Разлука,разлука,['ужасы'],"['руперт френд', 'мадлен брюэр']",['[d]'],['сша'],2021,https://www.imdb.com/title/tt9173154/
Сентябрь,сентябрь,['драма'],"['миа фэрроу', 'денхолм эллиотт', 'элейн стритч']",['вуди аллен'],['сша'],1987,https://www.imdb.com/title/tt0093940/
Развод Надера и Симин,развод надера и симин,['драма'],"['лейла хатами', 'пейман моаади', 'шахаб хоссейни', 'саре баят', 'сарина фархади']",['асгар фархади'],['иран'],2011,https://www.imdb.com/title/tt1832382/
За отдельными столиками,за отдельными столиками,['драма'],"['берт ланкастер', 'рита хейворт', 'глэдис купер', 'дебора керр', 'дэвид нивен', 'уэнди хиллер', 'кэтлин несбитт', 'мэй хэллэтт', 'феликс эйлмер', 'род тейлор', 'одри далтон']",['делберт манн'],['сша'],1958,https://www.imdb.com/title/tt0052182/
Охранник,охранник,"['детектив', 'драма', 'триллер']","['майкл дуглас', 'кифер сазерленд', 'ева лонгория', 'мартин донован', 'ким бейсингер']",['кларк джонсон'],['сша'],2006,https://www.imdb.com/title/tt0443632/
Чувство,чувство,"['мелодрама', 'костюмный']","['алида валли', 'фарли грейнджер']",['лукино висконти'],['италия'],1954,https://www.imdb.com/title/tt0047469/
Без чувств,без чувств,"['комедия', 'мелодрама']","['марлон уэйанс', 'брэд дуриф', 'дэвид спейд']",['пенелопа сфирис'],['сша'],1998,https://www.imdb.com/title/tt0120820/
