name,name_lower,genre,actor,director,country,year,link
Роман с Кейт Логан,роман с кейт логан,['триллер'],"['алексис бледел', 'лоран люка']",['ноэль митрани'],['канада'],2011,https://www.imdb.com/title/tt1744793/
Кастусь Калиновский,кастусь калиновский,['исторический фильм'],"['николай симонов', 'борис ливанов']",['владимир гардин'],['ссср'],1928,https://www.imdb.com/title/tt0250464/
Кащей Бессмертный,кащей бессмертный,['киносказка'],"['сергей столяров', 'александр ширшов', 'галина григорьева', 'георгий милляр']",['александр роу'],['ссср'],1944,https://www.imdb.com/title/tt0167227/
Лицо Карин,лицо карин,['документальный фильм'],[],['ингмар бергман'],['швеция'],1983,https://www.imdb.com/title/tt0091327/
Парень-каратист 3,парень-каратист 3,"['боевик', 'драма', 'семейный фильм', 'спортивный фильм']","['ральф маччио', 'пэт морита', 'мартин коув', 'робин лайвли']",['джон эвилдсен'],['сша'],1989,https://www.imdb.com/title/tt0097647/
Парень-каратист,парень-каратист,"['боевик', 'драма', 'семейный фильм', 'боевые искусства']","['ральф маччио', 'пэт морита', 'элизабет шу', 'мартин коув']",['джон эвилдсен'],['сша'],1984,https://www.imdb.com/title/tt0087538/
Парень-каратист 2,парень-каратист 2,"['боевик', 'семейный фильм', 'мелодрама']","['ральф маччио', 'пэт морита']",['джон эвилдсен'],['сша'],1986,https://www.imdb.com/title/tt0091326/
В. Р. Мистерии организма,в. р. мистерии организма,"['комедия', 'драма', 'фэнтези']","['милена дравич', 'ивица видович', 'ягода калопер', 'тули купферберг']",['душан макавеев'],"['фрг', 'югославия']",1971,https://www.imdb.com/title/tt0067958/
Каратэ-пацан,каратэ-пацан,"['боевые искусства', 'драма', 'семейный']","['джеки чан', 'джейден смит', 'тараджи п. хенсон']",['рус.'],['сша'],2010,https://www.imdb.com/title/tt1155076/
МЫ. Верим в любовь,мы. верим в любовь,"['драма', 'мелодрама']","['эбби корниш', 'андреа райзборо', 'джеймс д’арси', 'оскар айзек']",['мадонна'],['великобритания'],2011,https://www.imdb.com/title/tt1536048/
"Высоцкий. Спасибо, что живой","высоцкий. спасибо, что живой","['драма', 'биографический']","['сергей безруков', 'оксана акиньшина', 'андрей смоляков', 'иван ургант', 'андрей панин', 'максим леонидов']",['пётр буслов'],['россия'],2011,https://www.imdb.com/title/tt2116974/
Буш,буш,['биография'],"['джош бролин', 'элизабет бенкс', 'джеймс кромуэлл']",['оливер стоун'],['сша'],2008,https://www.imdb.com/title/tt1175491/
Вуковар,вуковар,"['военная', 'драма']","['мирьяна йокович', 'светлана бойкович']",['боро драшкович'],"['ср югославия', 'италия']",1994,https://www.imdb.com/title/tt0111646/
Возвращение,возвращение,['драма'],"['владимир гарин', 'иван добронравов', 'константин лавроненко']",['андрей звягинцев'],['россия'],2003,https://www.imdb.com/title/tt0376968/
Путешественник,путешественник,"['экранизация романа', '[d]', 'драматический фильм']",[],['фолькер шлёндорф'],"['франция', 'германия', 'греция', 'великобритания']",1991,https://www.imdb.com/title/tt0102050/
Подглядывающий,подглядывающий,"['эротика', 'драма']","['катарина василисса', 'франческо казале']",['тинто брасс'],['италия'],1994,https://www.imdb.com/title/tt0111573/
Террор на борту,террор на борту,['драма'],"['берт ланкастер', 'эва мари сейнт', 'доминик санда', 'бернар фрессон', 'роберт калп']",['рус.'],"['италия', 'франция', 'сша', 'германия', 'великобритания']",1990,https://www.imdb.com/title/tt0100889/
Поколение Вояджер,поколение вояджер,['научная фантастика'],"['колин фаррелл', 'тай шеридан', 'лили-роуз депп', 'финн уайтхед', 'айзек хемпстед-райт']",['нил бёргер'],"['сша', 'чехия', 'великобритания', 'румыния']",2021,https://www.imdb.com/title/tt9664108/
Удивительное путешествие доктора Дулиттла,удивительное путешествие доктора дулиттла,"['фэнтези', 'комедия', 'приключения', 'семейный']","['роберт дауни мл.', 'антонио бандерас', 'майкл шин', 'эмма томпсон', 'рами малек', 'джон сина', 'кумэйл нанджиани', 'октавия спенсер', 'том холланд', 'крэйг робинсон', 'рэйф файнс', 'селена гомес', 'марион котийяр']",['стивен гейган'],['сша'],2020,https://www.imdb.com/title/tt6673612/
Путешествие на планету доисторических женщин,путешествие на планету доисторических женщин,['научная фантастика'],['мейми ван дорен'],['питер богданович'],['сша'],1968,https://www.imdb.com/title/tt0063790/
Путешествие проклятых,путешествие проклятых,"['драма', 'военный фильм']","['фэй данауэй', 'оскар вернер', 'ли грант']",['стюарт розенберг'],['великобритания'],1976,https://www.imdb.com/title/tt0075406/
Время путешествия,время путешествия,['документальный фильм'],"['андрей тарковский', 'тонино гуэрра', 'элеонора яблочкина']","['андрей тарковский', 'тонино гуэрра']",['италия'],1983,https://www.imdb.com/title/tt0176227/
Путешествие,путешествие,['триллер'],"['рутгер хауэр', 'эрик робертс', 'карен аллен']",['джон маккензи'],['сша'],1993,https://www.imdb.com/title/tt0108505/
Вояж,вояж,"['драма', 'мелодрама']","['софи лорен', 'ричард бартон']",['витторио де сика'],"['италия', 'франция']",1974,https://www.imdb.com/title/tt0072364/
Путешествие вдвоём,путешествие вдвоём,['драма'],"['доминик санда', 'джеральдина чаплин']",['мишель девиль'],['франция'],1980,https://www.imdb.com/title/tt0081729/
Клятва,клятва,"['драма', 'мелодрама']","['рэйчел макадамс', 'ченнинг тейтум']",['майкл сакси'],"['сша', 'бразилия', 'франция', 'австралия', 'великобритания', 'германия']",2012,https://www.imdb.com/title/tt1606389/
Клятва,клятва,['драма'],"['михаил геловани', 'александр хвыля', 'софья гиацинтова', 'николай боголюбов', 'николай плотников', 'тамара макарова', 'владимир балашов', 'максим штраух', 'василий меркурьев', 'алексей грибов']",['михаил чиаурели'],['ссср'],1946,https://www.imdb.com/title/tt0038673/
Фон Рихтгофен и Браун,фон рихтгофен и браун,"['драма', 'военный фильм']","['джон филлип лоу', 'дон страуд', 'барри праймус', 'корин редгрейв', 'карен эриксон', 'херд хэтфилд']",['роджер корман'],['сша'],1971,https://www.imdb.com/title/tt0067658/
Волонтёры,волонтёры,['комедия'],"['том хэнкс', 'рита уилсон', 'тим томерсон', 'джон кэнди']",['николас мейер'],['сша'],1985,https://www.imdb.com/title/tt0090274/
Возвращение,возвращение,"['трагикомедия', 'драма']","['пенелопа крус', 'лола дуэньяс', 'бланка портильо', 'кармен маура']",['педро альмодовар'],['испания'],2006,https://www.imdb.com/title/tt0441909/
Поезд фон Райена,поезд фон райена,['драма'],"['тревор ховард', 'фрэнк синатра', 'джон лейтон']",['марк робсон'],['сша'],1965,https://www.imdb.com/title/tt0059885/
Вольтижировка,вольтижировка,['документальный'],[],['луи люмьер'],['франция'],1895,https://www.imdb.com/title/tt0000033/
Волынь,волынь,"['драма', 'военный фильм', 'исторический фильм']","['аркадиуш якубик', 'этель шиц', 'габриэля мускала']","['войцех смажовский', '[1]']",['польша'],2016,https://www.imdb.com/title/tt6068960/
Волан-де-Морт: Корни наследника,волан-де-морт: корни наследника,['фэнтези'],['\n'],['джанмария пеццато'],['италия'],2018,https://www.imdb.com/title/tt6977356/
Вулкан,вулкан,['фильм-катастрофа'],"['томми ли джонс', 'энн хэч']",['мик джексон'],['сша'],1997,https://www.imdb.com/title/tt0120461/
Вулкан,вулкан,['драма'],"['теодоур юлиуссон', 'маргрет хельга йоуханнсдоттир']",['рунар рунарссон'],"['исландия', 'дания']",2011,https://www.imdb.com/title/tt1695831/
Старая гвардия,старая гвардия,"['драма', 'пропагандистский']",['джанфранко джакетти'],['алессандро блазетти'],[],1934,https://www.imdb.com/title/tt0025941/
Старый тёмный дом,старый тёмный дом,"['триллер', 'фантастика']","['борис карлофф', 'мелвин дуглас', 'чарльз лоутон', 'глория стюарт']",['джеймс уэйл'],['сша'],1932,https://www.imdb.com/title/tt0023293/
